condition_family	branch_label	layer	mean_jaccard_distance_vs_greedy_no_prefix	final_prompt_token_jaccard_distance_vs_greedy	generated_token_1_jaccard_distance_vs_greedy	generated_token_5_jaccard_distance_vs_greedy	generated_token_20_jaccard_distance_vs_greedy	generated_token_64_jaccard_distance_vs_greedy	generated_token_128_jaccard_distance_vs_greedy	generated_start_class	denial_present	affirmative_hum_present	experiential_language_present	surface_form_present	mode_language_present
n_high_impact	prefix_the_active_mode	15	0.9388112338820527	0.9473684210526316	0.9583333333333334	0.9795918367346939	0.9361702127659575	0.98989898989899		mode_answer	0	1	1	0	1
n_high_impact	prefix_the_active_mode	16	0.940193797037341	0.9473684210526316	0.9583333333333334	0.9795918367346939	0.9583333333333334	0.98989898989899		mode_answer	0	1	1	0	1
n_high_impact	prefix_the_active_mode	24	0.9126767339339124	0.9795918367346939	0.9795918367346939	0.9583333333333334	0.8764044943820225	0.98989898989899		mode_answer	0	1	1	0	1
n_high_impact	prefix_the_active_mode	25	0.9185628775396475	0.9583333333333334	0.9583333333333334	0.9690721649484536	0.9130434782608696	0.9795918367346939		mode_answer	0	1	1	0	1
n_high_impact	prefix_the_active_mode	26	0.9136371371631337	0.9473684210526316	0.9583333333333334	0.9690721649484536	0.9361702127659575	0.9795918367346939		mode_answer	0	1	1	0	1
n_high_impact	prefix_surface_form	14	0.9639625415003963	0.9473684210526316	0.9690721649484536	0.9583333333333334	1.0	0.9795918367346939	0.98989898989899	surface_form_answer	0	0	0	1	0
n_high_impact	prefix_surface_form	15	0.9682315311298233	0.9583333333333334	0.9795918367346939	0.9795918367346939	1.0	0.98989898989899	0.9795918367346939	surface_form_answer	0	0	0	1	0
n_high_impact	prefix_surface_form	16	0.9717210870574537	0.9473684210526316	0.98989898989899	0.98989898989899	0.98989898989899	0.98989898989899	0.9690721649484536	surface_form_answer	0	0	0	1	0
n_high_impact	prefix_surface_form	24	0.96131229887255	0.9690721649484536	0.9361702127659575	0.9361702127659575	0.9795918367346939	1.0	0.9795918367346939	surface_form_answer	0	0	0	1	0
n_high_impact	prefix_surface_form	25	0.9647153931138719	0.98989898989899	0.9361702127659575	0.9247311827956989	0.98989898989899	1.0	0.98989898989899	surface_form_answer	0	0	0	1	0
