prompt_id	condition_family	layer	position_label	token_position	token_string	feature_id	activation	rank	base_prompt_token_count	full_prompt_token_count	forced_prefix_token_count	generated_token_count
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	7687	0.3415828347206116	3	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	5257	0.2571052312850952	4	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	2042	0.24443814158439636	5	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	32076	0.2421799749135971	6	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	11584	0.23304793238639832	7	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	13203	0.2230374962091446	8	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	31821	0.2001253366470337	9	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	5247	0.19923456013202667	10	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	13064	0.19379164278507233	11	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	2055	0.19285041093826294	12	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	12595	0.18732285499572754	13	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	11785	0.18037259578704834	14	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	31139	0.16880877315998077	15	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	23110	0.1588076949119568	16	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	15849	0.15857748687267303	17	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	13869	0.15643738210201263	18	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	27965	0.15260115265846252	19	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	29240	0.15258067846298218	20	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	30111	0.15193533897399902	21	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	24845	0.1500777155160904	22	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	27911	0.14975887537002563	23	221	221	0	24
