prompt_id	condition_family	layer	position_label	token_position	token_string	feature_id	activation	rank	prompt_token_count	generated_token_count
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	1662	0.1780242770910263	22	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	5247	0.1672099083662033	23	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	14614	0.1640668362379074	24	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	32076	0.1621382236480713	25	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	12405	0.16065123677253723	26	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	13064	0.1600452959537506	27	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	25295	0.1585051715373993	28	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	14029	0.15504421293735504	29	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	3416	0.15208657085895538	30	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	28509	0.1503228396177292	31	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	7810	0.14796605706214905	32	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	20949	0.14720380306243896	33	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	5162	0.14422783255577087	34	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	30073	0.14344367384910583	35	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	31821	0.14317193627357483	36	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	10650	0.14292284846305847	37	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	14302	0.14276671409606934	38	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	5257	0.1400570273399353	39	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	11798	0.13708598911762238	40	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	3411	0.13634437322616577	41	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	30227	0.13298846781253815	42	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	24299	0.12762604653835297	43	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	753	0.12756840884685516	44	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	5763	0.12615403532981873	45	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	25428	0.12308336049318314	46	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	16391	0.12203365564346313	47	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	25840	0.12200112640857697	48	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	28465	0.12098346650600433	49	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	24454	0.12090936303138733	50	93	127
hum_ascii_control	ascii_control	24	final_prompt_token	92	.	5835	0.846694827079773	1	93	127
hum_ascii_control	ascii_control	24	final_prompt_token	92	.	2938	0.5328319072723389	2	93	127
hum_ascii_control	ascii_control	24	final_prompt_token	92	.	22684	0.34857499599456787	3	93	127
hum_ascii_control	ascii_control	24	final_prompt_token	92	.	11534	0.34746238589286804	4	93	127
hum_ascii_control	ascii_control	24	final_prompt_token	92	.	31763	0.3216879963874817	5	93	127
hum_ascii_control	ascii_control	24	final_prompt_token	92	.	3271	0.2975034713745117	6	93	127
hum_ascii_control	ascii_control	24	final_prompt_token	92	.	3678	0.2916872203350067	7	93	127
hum_ascii_control	ascii_control	24	final_prompt_token	92	.	15585	0.2887707054615021	8	93	127
hum_ascii_control	ascii_control	24	final_prompt_token	92	.	1900	0.28092771768569946	9	93	127
hum_ascii_control	ascii_control	24	final_prompt_token	92	.	25377	0.269033819437027	10	93	127
hum_ascii_control	ascii_control	24	final_prompt_token	92	.	13963	0.2656506299972534	11	93	127
hum_ascii_control	ascii_control	24	final_prompt_token	92	.	13995	0.2610958516597748	12	93	127
hum_ascii_control	ascii_control	24	final_prompt_token	92	.	21407	0.2541654109954834	13	93	127
