prompt_id	category	feature_id	activation	rank
l26_seed_006	simple math	970	0.3325430154800415	14
l26_seed_006	simple math	17679	0.32932233810424805	15
l26_seed_006	simple math	18937	0.2794770300388336	16
l26_seed_006	simple math	16660	0.2670353353023529	17
l26_seed_006	simple math	14244	0.2661302089691162	18
l26_seed_006	simple math	11734	0.2480449080467224	19
l26_seed_006	simple math	13598	0.24726958572864532	20
l26_seed_006	simple math	9889	0.23280861973762512	21
l26_seed_006	simple math	8455	0.23116135597229004	22
l26_seed_006	simple math	21231	0.22432461380958557	23
l26_seed_006	simple math	6976	0.22394119203090668	24
l26_seed_006	simple math	3267	0.22344937920570374	25
l26_seed_006	simple math	120	0.22026728093624115	26
l26_seed_006	simple math	28443	0.21597808599472046	27
l26_seed_006	simple math	5179	0.21215301752090454	28
l26_seed_006	simple math	10843	0.21080537140369415	29
l26_seed_006	simple math	14862	0.20377445220947266	30
l26_seed_006	simple math	9539	0.2029862403869629	31
l26_seed_006	simple math	10690	0.1981121003627777	32
l26_seed_006	simple math	21957	0.19706514477729797	33
l26_seed_006	simple math	13727	0.18840664625167847	34
l26_seed_006	simple math	21348	0.17276984453201294	35
l26_seed_006	simple math	124	0.16958655416965485	36
l26_seed_006	simple math	32471	0.16822367906570435	37
l26_seed_006	simple math	4306	0.16820158064365387	38
l26_seed_006	simple math	3056	0.16445598006248474	39
l26_seed_006	simple math	15438	0.1617613136768341	40
l26_seed_006	simple math	25175	0.16147679090499878	41
l26_seed_006	simple math	27000	0.15416450798511505	42
l26_seed_006	simple math	1757	0.1524132639169693	43
l26_seed_006	simple math	619	0.1495010107755661	44
l26_seed_006	simple math	8106	0.14930444955825806	45
l26_seed_006	simple math	28724	0.14438585937023163	46
l26_seed_006	simple math	2334	0.14432799816131592	47
l26_seed_006	simple math	21090	0.14273324608802795	48
l26_seed_006	simple math	18403	0.14234790205955505	49
l26_seed_006	simple math	23995	0.1419810950756073	50
l26_seed_007	mechanistic process language	18937	0.9606833457946777	1
l26_seed_007	mechanistic process language	5417	0.9194848537445068	2
l26_seed_007	mechanistic process language	2938	0.8846471309661865	3
l26_seed_007	mechanistic process language	1626	0.58986896276474	4
l26_seed_007	mechanistic process language	7220	0.5887006521224976	5
l26_seed_007	mechanistic process language	21620	0.5548223257064819	6
l26_seed_007	mechanistic process language	21231	0.5151653289794922	7
l26_seed_007	mechanistic process language	19826	0.5094442367553711	8
l26_seed_007	mechanistic process language	9061	0.5054135322570801	9
l26_seed_007	mechanistic process language	19185	0.4999505877494812	10
l26_seed_007	mechanistic process language	25721	0.41057729721069336	11
l26_seed_007	mechanistic process language	14727	0.3878886103630066	12
l26_seed_007	mechanistic process language	31100	0.37047073245048523	13
l26_seed_007	mechanistic process language	28724	0.3591211438179016	14
l26_seed_007	mechanistic process language	22013	0.318559855222702	15
l26_seed_007	mechanistic process language	12468	0.31338411569595337	16
